Designator,Mid X,Mid Y,Rotation,Layer
C1,14.75,-193.0,-90.0,top
C2,6.8,-193.5,-90.0,top
C3,4.25,-198.75,0.0,top
C4,1.0,-189.6,-90.0,top
C5,1.1,-1.0,90.0,top
C6,67.0,-1.0,90.0,top
C7,67.0,-189.5,-90.0,top
D1,1.05,-185.25,90.0,top
D10,1.05,-140.25,90.0,top
D100,4.0,-189.45,180.0,top
D11,1.05,-135.25,90.0,top
D12,1.05,-130.25,90.0,top
D13,1.05,-125.25,90.0,top
D14,1.05,-120.25,90.0,top
D15,1.05,-115.25,90.0,top
D16,1.05,-110.25,90.0,top
D17,1.05,-105.25,90.0,top
D18,1.05,-100.25,90.0,top
D19,1.05,-95.25,90.0,top
D2,1.05,-180.25,90.0,top
D20,1.05,-90.25,90.0,top
D21,1.05,-85.25,90.0,top
D22,1.05,-80.25,90.0,top
D23,1.05,-75.25,90.0,top
D24,1.05,-70.25,90.0,top
D25,1.05,-65.25,90.0,top
D26,1.05,-60.25,90.0,top
D27,1.05,-55.25,90.0,top
D28,1.05,-50.25,90.0,top
D29,1.05,-45.25,90.0,top
D3,1.05,-175.25,90.0,top
D30,1.05,-40.25,90.0,top
D31,1.05,-35.25,90.0,top
D32,1.05,-30.25,90.0,top
D33,1.05,-25.25,90.0,top
D34,1.05,-20.25,90.0,top
D35,1.05,-15.25,90.0,top
D36,1.05,-10.25,90.0,top
D37,1.05,-5.25,90.0,top
D38,4.0,-1.05,0.0,top
D39,9.0,-1.05,0.0,top
D4,1.05,-170.25,90.0,top
D40,14.0,-1.05,0.0,top
D41,19.0,-1.05,0.0,top
D42,24.0,-1.05,0.0,top
D43,29.0,-1.05,0.0,top
D44,34.0,-1.05,0.0,top
D45,39.0,-1.05,0.0,top
D46,44.0,-1.05,0.0,top
D47,49.0,-1.05,0.0,top
D48,54.0,-1.05,0.0,top
D49,59.0,-1.05,0.0,top
D5,1.05,-165.25,90.0,top
D50,64.0,-1.05,0.0,top
D51,66.95,-4.75,-90.0,top
D52,66.95,-9.75,-90.0,top
D53,66.95,-14.75,-90.0,top
D54,66.95,-19.75,-90.0,top
D55,66.95,-24.75,-90.0,top
D56,66.95,-29.75,-90.0,top
D57,66.95,-34.75,-90.0,top
D58,66.95,-39.75,-90.0,top
D59,66.95,-44.75,-90.0,top
D6,1.05,-160.25,90.0,top
D60,66.95,-49.75,-90.0,top
D61,66.95,-54.75,-90.0,top
D62,66.95,-59.75,-90.0,top
D63,66.95,-64.75,-90.0,top
D64,66.95,-69.75,-90.0,top
D65,66.95,-74.75,-90.0,top
D66,66.95,-79.75,-90.0,top
D67,66.95,-84.75,-90.0,top
D68,66.95,-89.75,-90.0,top
D69,66.95,-94.75,-90.0,top
D7,1.05,-155.25,90.0,top
D70,66.95,-99.75,-90.0,top
D71,66.95,-104.75,-90.0,top
D72,66.95,-109.75,-90.0,top
D73,66.95,-114.75,-90.0,top
D74,66.95,-119.75,-90.0,top
D75,66.95,-124.75,-90.0,top
D76,66.95,-129.75,-90.0,top
D77,66.95,-134.75,-90.0,top
D78,66.95,-139.75,-90.0,top
D79,66.95,-144.75,-90.0,top
D8,1.05,-150.25,90.0,top
D80,66.95,-149.75,-90.0,top
D81,66.95,-154.75,-90.0,top
D82,66.95,-159.75,-90.0,top
D83,66.95,-164.75,-90.0,top
D84,66.95,-169.75,-90.0,top
D85,66.95,-174.75,-90.0,top
D86,66.95,-179.75,-90.0,top
D87,66.95,-184.75,-90.0,top
D88,64.0,-189.45,180.0,top
D89,59.0,-189.45,180.0,top
D9,1.05,-145.25,90.0,top
D90,54.0,-189.45,180.0,top
D91,49.0,-189.45,180.0,top
D92,44.0,-189.45,180.0,top
D93,39.0,-189.45,180.0,top
D94,34.0,-189.45,180.0,top
D95,29.0,-189.45,180.0,top
D96,24.0,-189.45,180.0,top
D97,19.0,-189.45,180.0,top
D98,14.0,-189.45,180.0,top
D99,9.0,-189.45,180.0,top
J1,19.0,-195.25,180.0,top
J2,51.79,-195.0,-90.0,top
L1,12.5,-193.0,90.0,top
R1,8.5,-192.0,90.0,top
R2,10.0,-192.0,-90.0,top
SW2,37.0,-195.0,180.0,top
U1,9.25,-195.75,90.0,top
U2,4.25,-195.0,90.0,top
